category;description;alpha_carotene;beta_carotene;beta_cryptoxanthin;carbohydrate;cholesterol;choline;fiber;lutein_and_zeaxanthin;lycopene;niacin;protein;retinol;riboflavin;selenium;sugar_total;thiamin;water;fat.monosaturated_fat;fat.polysaturated_fat;fat.saturated_fat;fat.total_lipid;major_minerals.calcium;major_minerals.copper;major_minerals.iron;major_minerals.magnesium;major_minerals.phosphorus;major_minerals.potassium;major_minerals.sodium;major_minerals.zinc;vitamins.vitamin_a_-_rae;vitamins.vitamin_b12;vitamins.vitamin_b6;vitamins.vitamin_c;vitamins.vitamin_e;vitamins.vitamin_k;calories
Noodles;Noodles, vegetable, cooked;0.0;51.0;0.0;24.1;33.0;25.5;2.3;2219.0;0.0;1.465;5.01;6.0;0.122;21.7;0.71;0.244;68.11;0.49;0.347;0.359;1.56;19.0;0.08;1.08;24.0;57.0;37.0;243.0;0.63;10.0;0.14;0.113;0.0;0.55;100.5;130.48
Noodles;Noodles, chow mein;0.0;1.0;0.0;51.9;0.0;8.1;1.9;54.0;0.0;2.52;10.33;0.0;0.112;32.1;0.25;0.195;4.93;7.617;16.949;4.931;31.72;21.0;0.122;1.76;21.0;87.0;89.0;378.0;0.63;0.0;0.0;0.027;0.0;3.29;6.3;534.4
Long rice noodles;Long rice noodles, made from mung beans, cooked;0.0;0.0;0.0;20.66;0.0;22.4;0.1;0.0;0.0;0.034;0.04;0.0;0.0;1.9;0.0;0.023;79.14;0.002;0.004;0.004;0.01;7.0;0.021;0.44;1.0;7.0;2.0;5.0;0.09;0.0;0.0;0.008;0.0;0.03;0.0;82.89
Rice noodles;Rice noodles, cooked;0.0;0.0;0.0;23.87;0.0;1.6;1.0;0.0;0.0;0.072;1.78;0.0;0.004;4.5;0.03;0.018;73.38;0.026;0.023;0.023;0.2;4.0;0.038;0.14;3.0;20.0;4.0;250.0;0.25;0.0;0.0;0.006;0.0;0.03;0.0;104.4
Pasta;Pasta, cooked;0.0;0.0;0.0;30.68;0.0;6.4;1.8;7.0;0.0;1.679;5.76;0.0;0.135;26.2;0.56;0.272;61.76;0.13;0.324;0.175;0.92;7.0;0.099;1.27;18.0;58.0;44.0;232.0;0.51;0.0;0.0;0.049;0.0;0.06;0.0;154.04
Pasta;Pasta, whole grain, cooked;0.0;2.0;0.0;29.89;0.0;6.5;3.9;93.0;0.0;3.107;5.95;0.0;0.098;36.1;0.75;0.155;61.43;0.175;0.571;0.242;1.7;13.0;0.224;1.71;54.0;126.0;95.0;235.0;1.33;0.0;0.0;0.092;0.0;0.23;0.6;158.66
Pasta;Pasta, gluten free;21.0;32.0;0.0;38.05;0.0;1.7;1.4;539.0;0.0;0.24;3.2;0.0;0.079;2.2;0.0;0.05;57.67;0.259;0.329;0.15;1.0;2.0;0.02;0.22;11.0;33.0;24.0;4.0;0.27;4.0;0.0;0.037;0.0;0.0;0.0;174.0
Cereal;Cereal, cooked, NFS;0.0;0.0;0.0;11.36;0.0;6.8;1.7;27.0;0.0;0.17;2.21;0.0;0.023;4.8;0.17;0.062;84.77;0.332;0.386;0.186;1.09;12.0;0.072;0.68;24.0;65.0;58.0;70.0;0.62;0.0;0.0;0.015;0.0;0.07;0.3;64.09
Barley;Barley, NS as to fat;0.0;5.0;0.0;28.09;0.0;13.3;3.8;56.0;0.0;2.053;2.25;0.0;0.062;8.6;0.28;0.083;68.47;0.057;0.213;0.093;0.44;11.0;0.105;1.32;22.0;54.0;93.0;187.0;0.82;0.0;0.0;0.114;0.0;0.01;0.8;125.32
Barley;Barley, no added fat;0.0;5.0;0.0;28.09;0.0;13.3;3.8;56.0;0.0;2.053;2.25;0.0;0.062;8.6;0.28;0.083;68.47;0.057;0.213;0.093;0.44;11.0;0.105;1.32;22.0;54.0;93.0;187.0;0.82;0.0;0.0;0.114;0.0;0.01;0.8;125.32
Barley;Barley, fat added;0.0;15.0;0.0;27.23;4.0;13.4;3.7;54.0;0.0;1.991;2.2;22.0;0.061;8.3;0.27;0.08;67.07;0.74;0.581;1.195;2.72;11.0;0.101;1.28;21.0;53.0;90.0;202.0;0.79;23.0;0.0;0.146;0.0;0.28;2.1;142.2
Buckwheat groats;Buckwheat groats, NS as to fat;0.0;0.0;0.0;19.86;0.0;20.0;2.7;60.0;0.0;0.936;3.37;0.0;0.039;2.2;0.9;0.04;75.35;0.187;0.187;0.133;0.62;7.0;0.145;0.8;51.0;70.0;88.0;150.0;0.61;0.0;0.0;0.077;0.0;0.09;1.9;98.5
Buckwheat groats;Buckwheat groats, no added fat;0.0;0.0;0.0;19.86;0.0;20.0;2.7;60.0;0.0;0.936;3.37;0.0;0.039;2.2;0.9;0.04;75.35;0.187;0.187;0.133;0.62;7.0;0.145;0.8;51.0;70.0;88.0;150.0;0.61;0.0;0.0;0.077;0.0;0.09;1.9;98.5
Buckwheat groats;Buckwheat groats, fat added;0.0;28.0;0.0;18.99;0.0;19.6;2.6;57.0;0.0;0.894;3.22;35.0;0.038;2.1;0.86;0.038;73.61;1.069;1.397;0.683;3.34;8.0;0.139;0.76;49.0;67.0;85.0;174.0;0.58;38.0;0.0;0.246;0.0;1.06;6.5;118.9
